firm,n_rows
Amalgamated Copper Co.,1384
Distillers Securities,1334
Anaconda Copper Mining,1317
Republic Iron & Steel,1164
American Woolen,1143
Amer. Smelt. & Ref,1142
Railway Steel Spring,1122
Am. Sugar Ref,1117
National Lead Co.,1107
National Biscuit Co.,1052
New York Air Brake,860
American Beet Sugar,710
U. S. Cast Iron & Pipe,670
Duluth. S. S. & Atlantic,668
Tennessee Copper,613
American Locomotive,589
Newhouse Mines & Smel.,585
Met. Street Railway,546
Utah Copper,536
Amer. Locomotive Co.,521
Amer. Grass Twine,514
American Linseed,496
Union Bag & Paper Co,465
Batopilas Mining,397
Metropolitan Securities,295
U.S. Reduction & Ref,274
International Power,273
Rubber Goods Mfg. Co.,208
Amer. Malting Co.,192
U. S. Reduc. & Ref.,173
Balaklala Copper,158
Butterick Company,155
Amer. Linseed Co.,123
U. S. Leather ,120
Vulcan Detinning,119
American Ice Co.,112
Chi. Union Trac.,98
"N. Y., & N. J. Tel",75
Interborough-Metropolitan,72
American Ice Securities,68
Hocking Valley,52
Met. Securities,49
Fort Worth & Den. City,37
American Snuff Co.,34
Repub. Iron & Steel,32
Am. Snuff,28
Federal Sugar Ref.,27
Kanawha & Michigan,16
U.S. Leather,10
Amalg. Copper,10
Rail'y Steel Spring,8
Metropolitan St. Ry,7
Anaconda. Cop. Min,6
American Tel. & Telegraph,6
Crex Carpet Co,5
U.S. Realty & Imp,5
Am. Steel Foundries,4
Pressed Steel Car,3
Amer. Gras Twine,3
Amer. Woolen,3
Amer. Sugar. Ref,3
Texas & Pacifc,3
"Nat. Enam, & Stamp",3
H. B. Claflin,2
Amer Beet Sugar,2
Rock Island Co.,2
R' way Steel Spring,2
"Chi., Mi.. & St. Paul",2
Tennessee Cop,2
Amer. Beet. Sugar,2
Twin City Rapid Transit,2
Lehigh & W. B. Coal,2
Chi. Union Traction,2
Union B. & Paper,2
Nat. Biscult Co,2
"R. R. Sec., Ill. C. st. c.",1
Railway St. Spring,1
R'way Steel Spring6,1
Pullman Co,1
Northern American,1
Norfolk & Western,1
Amer Smelt. & Ref,1
R'way Steel-Spring,1
Rway Steel Spring,1
Rep. Iron & Teel,1
Amalg.-Copper,1
Virginia -Carolina Chemical,1
Utah. Copper,1
Utah copper,1
Union Pacific,1
Union  Pacific,1
U.S. Rubber,1
Amal. Copper,1
Amalgamated .Cop,1
Republic I. & S,1
"Tol, St. L. & West",1
Third Avenue,1
Tennessee. Copper,1
Amalgamated. Cop,1
Tenn. Copper,1
Newhouse 'M. & S,1
Amals. Copper,1
Amer.  Tel. & Tel,1
N. Y. Air' Brake,1
New York Central,1
Baltimore & Ohio,1
Chicago Union Trac,1
Chicago Union Tr,1
Chicago & Northwestern,1
Amer. Smelt. & R,1
Brooklyn Rapid Transit,1
Batopilas. Mining,1
Batopilas Steel,1
Batopilas Minins,1
Amer. Tobacco Co.,1
Denver Rio Grande,1
Balakiala Copper,1
"Atch., Topeka & S. F.",1
"Anaconda. Cop., Min",1
Anac. Cop. Mining,1
"Amer., Sugar Ref",1
Amer.-Locomotive,1
American Locomo,1
Americal Woolen,1
Chicago Union Trao,1
Distille's Securities,1
Amer. 'Smelt. & Ref,1
Amer. Granss Twiner,1
National Linseed Co.,1
Amer. Beet sugar,1
National Biscult Co,1
National Biscuit. Co,1
N. Y. air Brake,1
N. Y Air Brake,1
Missouri Pacific,1
Amer. Cotton Oil,1
Mercantile Marine,1
Distilleres Securities,1
Internat. Power,1
Fed. Sugar Ref. Co,1
Am. Car. & Foundry,1
"Dul., S. Shore & Atl",1
"Dul., S. S., & At",1
"Dul., S. S. & Atlantic",1
Duiuth. S. S. & A,1
Amer. Sme't. & Ref,1
Am. Agri Chemical,1
